Geography - Class-28 | Indian Geo | National Highway [25-Apr-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371930375112/6371930375112.m3u8
Geography - Class-29 | Soil of india [26-Apr-2025 20:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371968609112/6371968609112.m3u8
Geography - Class-30 | Soil of india [28-Apr-2025 20:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372029108112/6372029108112.m3u8
Geography - Class-31 | Rocks of india [30-Apr-2025 07:15]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372089490112/6372089490112.m3u8
Geography - Class-32 | Indian Geo | Rocks of india [30-Apr-2025 08:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372092573112/6372092573112.m3u8
Geography - Class-33 |  Energy and mineral resources [01-May-2025 20:00]: https://www.youtube.com/embed/98L1y59K3E4
Geography - Class-34 |  Energy and mineral resources [02-May-2025 20:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372217536112/6372217536112.m3u8
Geography - Class-35 | Indian Geo | Energy and mineral resources [02-May-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/l032tR784qo/l032tR784qo.m3u8
Geography - Class-36 | Indian Geo | Vegetation of india [05-May-2025 20:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372371010112/6372371010112.m3u8
Geography - Class-37 | Indian Geo | Agriculture of iindia [06-May-2025 20:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372416678112/6372416678112.m3u8
Geography - Class-38 | Indian Geo | Agriculture of iindia [07-May-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372469518112/6372469518112.m3u8
Geography - Class-39 | Indian Geo | Agriculture of iindia [08-May-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372524675112/6372524675112.m3u8
Geography - Class-40 | Indian Geo | Agriculture of iindia [09-May-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372578614112/6372578614112.m3u8
Geography - Class-41 | Indian Geo | Agriculture of iindia [10-May-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372626897112/6372626897112.m3u8
Geography - Class-42 | Geography | Island of india [09-Jul-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4478197/175208040374013190878/175208040374013190878_3190878.m3u8
Geography - Class-43 | Geography | Island of india [10-Jul-2025 21:00]: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4479271/175216527790734819135/175216527790734819135_4819135.m3u8
